date,new_cases,new_deaths,cumulative_cases,cumulative_deaths
2020-01-01,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0
2020-01-04,3.0,0.0,3.0,0.0
2020-01-05,0.0,3.0,2.0,3.0
2020-01-06,3.0,0.0,5.0,3.0
2020-01-07,0.0,0.0,5.0,3.0
2020-01-08,1.0,0.0,6.0,3.0
2020-01-09,0.0,0.0,6.0,3.0
2020-01-10,0.0,0.0,6.0,3.0
2020-01-11,0.0,0.0,6.0,3.0
2020-01-12,41.0,1.0,47.0,4.0
2020-01-13,1.0,0.0,48.0,4.0
2020-01-14,1.0,0.0,49.0,4.0
2020-01-15,0.0,0.0,49.0,4.0
2020-01-16,0.0,0.0,49.0,4.0
2020-01-17,5.0,1.0,54.0,5.0
2020-01-18,0.0,0.0,54.0,5.0
2020-01-19,79.0,1.0,133.0,6.0
2020-01-20,78.0,1.0,211.0,7.0
2020-01-21,93.0,2.0,304.0,9.0
2020-01-22,147.0,11.0,451.0,20.0
2020-01-23,135.0,1.0,586.0,21.0
2020-01-24,263.0,8.0,849.0,29.0
2020-01-25,473.0,16.0,1322.0,45.0
2020-01-26,706.0,17.0,2028.0,62.0
2020-01-27,778.0,26.0,2806.0,88.0
2020-01-28,1787.0,49.0,4593.0,137.0
2020-01-29,1469.0,2.0,6062.0,139.0
2020-01-30,1758.0,38.0,7820.0,177.0
2020-01-31,2002.0,42.0,9822.0,219.0
2020-02-01,2118.0,47.0,11940.0,266.0
2020-02-02,2618.0,106.0,14558.0,372.0
2020-02-03,2836.0,64.0,17394.0,436.0
2020-02-04,3243.0,67.0,20637.0,503.0
2020-02-05,3942.0,72.0,24579.0,575.0
2020-02-06,3712.0,70.0,28291.0,645.0
2020-02-07,3159.0,85.0,31446.0,730.0
2020-02-08,3401.0,87.0,34847.0,817.0
2020-02-09,2699.0,100.0,37546.0,917.0
2020-02-10,2993.0,107.0,40539.0,1024.0
2020-02-11,2479.0,100.0,43018.0,1124.0
2020-02-12,2030.0,5.0,45048.0,1129.0
2020-02-13,15168.0,253.0,60216.0,1382.0
2020-02-14,4068.0,152.0,64284.0,1534.0
