Country,WHO_region,deaths_per_million,cases_per_million,mortality_rate
Western Sahara,AFRO,0.0,0.0,0.0
Cote d'Ivoire,AFRO,0.0,0.0,0.0
Macao,SEARO,0.0,0.0,0.0
Hong Kong,SEARO,0.0,0.0,0.0
Taiwan,SEARO,0.0,0.0,0.0
Kazakhstan,SEARO,951.95,75088.55,1.27
Honduras,AMRO,1062.13,45207.04,2.35
Mauritius,AFRO,841.6,260243.05,0.32
India,SEARO,374.52,31608.95,1.18
Bahamas,AMRO,2135.62,98422.31,2.17
Seychelles,AFRO,1370.16,413429.14,0.33
Saudi Arabia,SEARO,299.79,26152.6,1.15
Uzbekistan,SEARO,29.08,5013.26,0.58
Niger,AFRO,12.44,378.2,3.29
Cook Islands,WPRO,135.62,500101.72,0.03
Micronesia (country),WPRO,552.97,283307.47,0.2
Nigeria,AFRO,14.14,1197.53,1.18
Brazil,AMRO,3346.42,180584.13,1.85
Eritrea,AFRO,30.21,2988.46,1.01
Saint Lucia,AMRO,2293.14,169211.49,1.36
Hungary,EURO,5072.54,231378.12,2.19
Laos,SEARO,88.77,28979.99,0.31
Uruguay,AMRO,2269.6,307654.61,0.74
Saint Vincent and the Grenadines,AMRO,1214.94,94784.59,1.28
Latvia,EURO,4104.07,519812.51,0.79
Saint Martin (French part),AMRO,1591.75,426450.74,0.37
Australia,WPRO,963.17,452699.01,0.21
Moldova,EURO,4042.78,215940.14,1.87
Gibraltar,EURO,3002.84,546092.32,0.55
New Caledonia,WPRO,1093.58,279326.44,0.39
Serbia,EURO,2658.88,378136.31,0.7
Lebanon,SEARO,1905.65,215842.24,0.88
Liechtenstein,EURO,2262.44,550333.01,0.41
San Marino,EURO,3693.61,741418.23,0.5
Zambia,AFRO,202.35,17361.84,1.17
Bahrain,SEARO,1001.66,454275.95,0.22
Cambodia,SEARO,177.66,8099.54,2.19
Cyprus,EURO,1024.5,539781.4,0.19
Haiti,AMRO,74.76,3044.87,2.46
Nicaragua,AMRO,36.4,2496.78,1.46
France,EURO,2537.85,589321.59,0.43
Mayotte,AFRO,612.55,137667.51,0.44
New Zealand,WPRO,884.3,519948.53,0.17
Sierra Leone,AFRO,15.1,964.74,1.57
Iceland,EURO,489.0,555372.69,0.09
Samoa,WPRO,144.01,79235.38,0.18
United Arab Emirates,SEARO,229.35,104180.94,0.22
Ukraine,EURO,2678.2,135332.76,1.98
Cameroon,AFRO,71.44,4535.19,1.58
Senegal,AFRO,111.72,5066.94,2.2
Colombia,AMRO,2760.16,123754.05,2.23
United States,AMRO,3618.63,302859.5,1.19
Tuvalu,WPRO,99.88,293947.26,0.03
Saint Pierre and Miquelon,AMRO,347.22,594791.67,0.06
Uganda,AFRO,76.77,3640.08,2.11
Sao Tome and Principe,AFRO,353.49,29918.74,1.18
Mexico,AMRO,2605.47,59324.65,4.39
Lithuania,EURO,3522.64,514053.81,0.69
British Virgin Islands,AMRO,1669.01,199786.16,0.84
Falkland Islands,AMRO,0.0,547083.93,0.0
Indonesia,SEARO,581.21,24496.15,2.37
Greece,EURO,3864.5,562804.96,0.69
Czechia,EURO,4115.63,457798.01,0.9
Germany,EURO,2080.95,457125.42,0.46
Azerbaijan,SEARO,1005.6,81251.58,1.24
Singapore,SEARO,358.24,532073.38,0.07
Austria,EURO,2485.91,671151.14,0.37
Kyrgyzstan,SEARO,147.22,12788.34,1.15
Monaco,EURO,1720.15,441103.98,0.39
Mali,AFRO,32.2,1438.89,2.24
United Kingdom,EURO,3404.43,368335.54,0.92
Norway,EURO,1050.43,284272.49,0.37
Ecuador,AMRO,2023.35,60704.62,3.33
Japan,SEARO,597.56,270433.8,0.22
Benin,AFRO,11.85,2037.57,0.58
China,SEARO,85.88,69732.8,0.12
Bonaire Sint Eustatius and Saba,AMRO,1430.86,416067.56,0.34
Philippines,SEARO,586.71,36330.51,1.61
Sweden,EURO,2798.71,265631.64,1.05
Kiribati,WPRO,183.93,38970.59,0.47
Mozambique,AFRO,68.96,7163.32,0.96
Burkina Faso,AFRO,17.77,987.03,1.8
Cuba,AMRO,771.26,100709.94,0.77
Algeria,AFRO,151.31,5990.56,2.53
Angola,AFRO,54.36,3016.33,1.8
Peru,AMRO,6603.86,135425.75,4.88
Poland,EURO,3151.67,178226.0,1.77
Djibouti,AFRO,166.21,13798.25,1.2
Vanuatu,WPRO,44.72,38391.88,0.12
Tonga,WPRO,123.75,161746.93,0.08
Ethiopia,AFRO,60.41,3998.3,1.51
Malta,EURO,2118.54,237196.94,0.89
Sudan,AFRO,102.18,1295.84,7.89
Trinidad and Tobago,AMRO,2934.64,128011.94,2.29
Vatican,EURO,0.0,50682.26,0.0
Equatorial Guinea,AFRO,101.47,9497.94,1.07
Northern Mariana Islands,WPRO,889.35,325047.18,0.27
Finland,EURO,2058.79,272525.81,0.76
Portugal,EURO,2845.62,544450.97,0.52
Nepal,SEARO,404.97,33785.34,1.2
Madagascar,AFRO,46.92,2258.19,2.08
Morocco,AFRO,436.79,34265.92,1.27
Suriname,AMRO,2256.2,132412.88,1.7
Grenada,AMRO,2035.44,168419.88,1.21
Ghana,AFRO,44.13,5212.17,0.85
Guatemala,AMRO,1132.07,70331.11,1.61
Anguilla,AMRO,844.95,274890.86,0.31
Liberia,AFRO,54.72,1476.19,3.71
Nauru,WPRO,84.59,456183.39,0.02
Cayman Islands,AMRO,516.69,439491.69,0.12
Bermuda,AMRO,2547.4,291175.2,0.87
Bhutan,SEARO,26.89,80921.12,0.03
Tajikistan,SEARO,12.28,1746.77,0.7
Malaysia,SEARO,1076.54,153617.53,0.7
Panama,AMRO,2006.46,237608.6,0.84
Pakistan,SEARO,125.79,6485.95,1.94
Dominica,AMRO,1107.01,240055.65,0.46
Namibia,AFRO,1422.31,59715.16,2.38
Tanzania,AFRO,13.07,673.85,1.94
Palestine,SEARO,1075.91,132552.63,0.81
Bolivia,AMRO,1853.83,100369.66,1.85
East Timor,SEARO,100.78,17132.85,0.59
Jamaica,AMRO,1279.96,55532.82,2.3
Croatia,EURO,4813.12,351026.91,1.37
Thailand,SEARO,487.81,75554.22,0.65
Bulgaria,EURO,5681.04,196468.23,2.89
Palau,WPRO,562.3,358299.6,0.16
American Samoa,WPRO,702.99,172831.59,0.41
Italy,EURO,3329.86,452369.35,0.74
Andorra,EURO,1994.43,602280.42,0.33
Togo,AFRO,35.94,4902.08,0.73
Kosovo,EURO,1869.67,159654.82,1.17
Malawi,AFRO,130.59,4335.12,3.01
Switzerland,EURO,1611.66,510855.56,0.32
Guam,WPRO,2536.43,316520.68,0.8
Tokelau,WPRO,0.0,34602.08,0.0
Israel,SEARO,1395.89,531871.35,0.26
Paraguay,AMRO,2940.63,108832.68,2.7
Myanmar,SEARO,362.63,11968.74,3.03
Oman,SEARO,978.39,84446.02,1.16
Vietnam,SEARO,433.44,116612.39,0.37
Syria,SEARO,140.81,2556.43,5.51
Gabon,AFRO,126.3,20186.77,0.63
Central African Republic,AFRO,22.17,3038.82,0.73
