country,people_fully_vaccinated_per_hundred,total_deaths_per_million
Cote d'Ivoire,40.020737,0.0
Macao,91.18433,0.0
Hong Kong,91.124664,0.0
Taiwan,88.783066,0.0
Kazakhstan,53.0535,951.95
Honduras,55.94186,1062.13
Mauritius,85.26863,841.6
India,66.78652,374.52
Bahamas,42.0011,2135.62
Seychelles,66.56815,1370.16
Saudi Arabia,79.047905,299.79
Uzbekistan,52.81149,29.08
Niger,21.661686,12.44
Cook Islands,99.87116,135.62
Nigeria,36.431763,14.14
Brazil,83.76549,3346.42
Saint Lucia,30.74544,2293.14
Hungary,64.090385,5072.54
Laos,69.08865,88.77
Uruguay,85.616646,2269.6
Saint Vincent and the Grenadines,30.992622,1214.94
Latvia,69.4277,4104.07
Australia,82.62102,963.17
Moldova,35.492302,4042.78
Gibraltar,110.18841,3002.84
New Caledonia,64.36666,1093.58
Serbia,48.271156,2658.88
Lebanon,42.026745,1905.65
San Marino,69.27857,3693.61
Zambia,45.719406,202.35
Bahrain,80.00182,1001.66
Cambodia,85.417465,177.66
Cyprus,69.774,1024.5
Haiti,3.1845589,74.76
Nicaragua,91.026825,36.4
France,80.257324,2537.85
New Zealand,83.63098,884.3
Sierra Leone,59.949265,15.1
Iceland,78.32783,489.0
Samoa,82.66549,144.01
United Arab Emirates,95.60813,229.35
Ukraine,38.347157,2678.2
Cameroon,11.570632,71.44
Senegal,8.77376,111.72
Colombia,71.90879,2760.16
United States,67.52983,3618.63
Tuvalu,94.93607,99.88
Uganda,27.605951,76.77
Sao Tome and Principe,49.482796,353.49
Mexico,63.640446,2605.47
Lithuania,66.77875,3522.64
British Virgin Islands,47.621655,1669.01
Falkland Islands,50.497868,0.0
Indonesia,62.749634,581.21
Greece,73.44144,3864.5
Czechia,64.60811,4115.63
Germany,75.596375,2080.95
Azerbaijan,47.230198,1005.6
Singapore,92.89906,358.24
Austria,73.72863,2485.91
Kyrgyzstan,20.2136,147.22
Monaco,65.8973,1720.15
Mali,15.748474,32.2
United Kingdom,74.43005,3404.43
Norway,74.42668,1050.43
Ecuador,79.94636,2023.35
Japan,82.76578,597.56
Benin,19.934122,11.85
China,90.12756,85.88
Bonaire Sint Eustatius and Saba,58.407204,1430.86
Philippines,68.83203,586.71
Sweden,72.40806,2798.71
Kiribati,62.44032,183.93
Mozambique,65.31598,68.96
Burkina Faso,23.245539,17.77
Cuba,90.90253,771.26
Algeria,14.251447,151.31
Angola,26.965265,54.36
Peru,85.76331,6603.86
Poland,59.15184,3151.67
Djibouti,35.28341,166.21
Vanuatu,51.82696,44.72
Tonga,73.66758,123.75
Ethiopia,34.815372,60.41
Malta,89.27875,2118.54
Sudan,27.167852,102.18
Trinidad and Tobago,48.061897,2934.64
Equatorial Guinea,11.867269,101.47
Finland,78.054924,2058.79
Portugal,85.53044,2845.62
Nepal,82.35129,404.97
Madagascar,8.636944,46.92
Morocco,63.012527,436.79
Suriname,38.172287,2256.2
Grenada,33.38294,2035.44
Ghana,32.519695,44.13
Guatemala,39.953743,1132.07
Anguilla,73.10238,844.95
Liberia,69.43534,54.72
Nauru,95.97361,84.59
Cayman Islands,84.75911,516.69
Bermuda,73.576546,2547.4
Bhutan,86.778175,26.89
Tajikistan,50.99001,12.28
Malaysia,79.40842,1076.54
Panama,72.23046,2006.46
Pakistan,57.64279,125.79
Dominica,45.864437,1107.01
Namibia,19.067173,1422.31
Tanzania,49.706203,13.07
Palestine,33.49446,1075.91
Bolivia,51.01023,1853.83
East Timor,58.552513,100.78
Jamaica,26.796753,1279.96
Croatia,57.63479,4813.12
Thailand,74.56032,487.81
Bulgaria,30.443129,5681.04
Italy,83.00122,3329.86
Andorra,67.10946,1994.43
Togo,19.260626,35.94
Kosovo,48.027126,1869.67
Malawi,20.847246,130.59
Tokelau,95.28547,0.0
Israel,70.14864,1395.89
Paraguay,52.521175,2940.63
Myanmar,66.85257,362.63
Oman,64.45409,978.39
Vietnam,86.23695,433.44
Syria,10.499275,140.81
Gabon,10.592245,126.3
Central African Republic,48.74395,22.17
Egypt,37.59353,220.48
Venezuela,53.048817,207.56
Maldives,73.488884,602.92
Congo,10.838571,64.46
Estonia,63.90219,2530.94
Papua New Guinea,3.1479607,65.67
Chile,90.523636,3216.18
Sri Lanka,64.60631,740.4
Chad,27.202782,10.51
Comoros,47.60061,191.8
Netherlands,65.73038,1283.82
Mauritania,31.597816,204.49
Barbados,54.91811,2100.42
Faroe Islands,75.67683,518.14
Afghanistan,45.270844,197.1
Dominican Republic,54.586662,390.36
Solomon Islands,32.56435,254.78
Guinea-Bissau,26.0094,84.06
Rwanda,76.182304,107.54
Turkmenistan,63.19193,0.0
Somalia,43.06752,76.45
Mongolia,64.53846,630.83
Armenia,35.779274,3049.42
Iraq,18.0274,575.78
Luxembourg,5.796285,1530.66
Russia,54.74822,2777.1
Slovenia,57.782104,4686.96
Guyana,46.797615,1596.81
Sint Maarten (Dutch part),63.498802,2182.01
Bangladesh,83.95181,174.34
French Polynesia,66.62304,2318.22
Saint Kitts and Nevis,57.776257,984.34
Turks and Caicos Islands,66.95154,893.85
Slovakia,51.00697,3909.05
Burundi,0.27265763,1.13
Iran,65.44067,1640.19
Curacao,54.42946,1645.54
Jordan,40.495773,1254.59
Saint Helena,65.76643,0.0
Aruba,78.26926,2708.92
Kenya,20.442282,104.86
Botswana,68.17876,1148.0
Democratic Republic of Congo,14.062447,14.39
Canada,81.80634,1424.01
El Salvador,70.025406,673.53
Niue,88.66595,0.0
Belarus,69.931625,775.95
Qatar,98.60714,238.55
Denmark,79.82519,1696.12
Costa Rica,85.98951,1849.16
Bosnia and Herzegovina,26.400383,5123.25
Spain,85.17771,2548.28
Fiji,69.73836,962.55
Brunei,98.09827,399.67
Yemen,2.1114502,56.48
Montserrat,43.610367,1787.31
Albania,45.24426,1275.99
Wallis and Futuna,59.15138,782.54
Kuwait,72.90916,559.97
Antigua and Barbuda,67.187935,1572.43
Georgia,33.62968,4519.63
Jersey,79.11839,1555.66
Belize,54.992664,1708.29
South Sudan,38.773117,13.34
North Macedonia,45.547474,5429.19
Greenland,68.75246,374.91
Isle of Man,79.74759,1378.52
Montenegro,46.346615,4317.91
South Africa,33.727688,1644.72
Guinea,41.650185,33.3
Turkey,61.081894,1164.95
Ireland,79.5611,1912.52
Lesotho,41.03421,310.13
Gambia,20.451042,141.1
Guernsey,82.68235,1050.98
Romania,42.337685,3604.94
Argentina,76.860214,2881.41
Libya,17.111511,891.08
Cape Verde,59.39779,802.31
Belgium,78.77591,2949.63
Tunisia,52.823357,2427.77
Eswatini,35.058464,1170.71
South Korea,85.64171,693.94
Zimbabwe,35.236153,357.21
